DIA,MES,ANO,HORA,MINUTO,SEGUNDO,TEMPERATURA,PRESSAO,UMIDADE,IRRADIANCIA,VELOCIDADE,DIRECAO,CHUVA,PVTEMP(K),TENSAO,CORRENTE,PVTEMP(c)
10,2,2020,13,9,50,33.34,1005.44,65.37,958.76479,13.3,180,4.75,284.96,456.2625,2.78156,11.81
10,2,2020,13,9,51,33.34,1005.46,65.24,954.14201,13.3,180,4.75,285.15,455.8125,2.78156,12
10,2,2020,13,9,52,33.34,1005.45,65.34,946.74556,13.3,135,4.75,285.08,455.85,2.76919,11.93
10,2,2020,13,9,53,33.34,1005.46,65.34,943.50962,13.3,225,4.75,284.4,456.3375,2.76806,11.25
10,2,2020,13,9,54,33.34,1005.42,65.32,939.81139,13.3,180,4.75,285.45,456.7125,2.76244,12.3
10,2,2020,13,9,55,33.34,1005.43,65.26,938.42456,13.3,180,4.75,286.02,456.5625,2.76694,12.87
10,2,2020,13,9,56,33.34,1005.43,65.15,935.18861,13.3,180,4.75,286.11,456.075,2.77144,12.96
10,2,2020,13,9,57,33.34,1005.43,65.15,933.3395,13.3,225,4.75,285.62,455.9625,2.77088,12.47
10,2,2020,13,9,58,33.34,1005.44,65.06,936.57544,13.3,180,4.75,284.77,456.225,2.76525,11.62
10,2,2020,13,9,59,33.34,1005.43,64.92,932.87722,13.3,180,4.75,285.03,456.45,2.763,11.88
10,2,2020,13,10,0,33.33,1005.44,64.92,927.79216,13.3,180,4.75,285.83,456.4875,2.76131,12.68
10,2,2020,13,10,1,33.33,1005.43,64.84,925.01849,13.3,180,4.75,284.89,456.225,2.74838,11.74
10,2,2020,13,10,2,33.33,1005.44,64.79,911.15015,13.3,180,4.75,285.76,456.45,2.74219,12.61
10,2,2020,13,10,3,33.33,1005.42,64.77,905.60281,26.6,180,4.75,285.03,455.5125,2.74444,11.88
10,2,2020,13,10,4,33.33,1005.42,64.82,916.23521,13.3,180,4.75,285.64,455.775,2.75063,12.49
10,2,2020,13,10,5,33.33,1005.44,64.83,912.99926,13.3,180,4.75,285.34,456.3,2.74219,12.19
10,2,2020,13,10,6,33.33,1005.43,64.95,898.20636,13.3,135,4.75,285.26,455.8125,2.73487,12.11
10,2,2020,13,10,7,33.33,1005.43,64.95,891.27219,13.3,180,4.75,284.7,455.7,2.72981,11.55
10,2,2020,13,10,8,33.33,1005.42,64.94,888.49852,13.3,180,4.75,285.1,455.5875,2.72081,11.95
10,2,2020,13,10,9,33.33,1005.42,64.84,883.87574,26.6,180,4.75,285.08,456.1125,2.72194,11.93
10,2,2020,13,10,10,33.11,1005.07,64.96,887.11169,13.3,180,4.75,285.36,455.6625,2.718,12.21
10,2,2020,13,10,11,33.33,1005.43,65.02,888.9608,26.6,180,4.75,285.43,455.7375,2.73712,12.28
10,2,2020,13,10,12,33.33,1005.43,65,891.73447,39.9,180,4.75,285.85,455.7375,2.72981,12.7
10,2,2020,13,10,13,33.33,1005.44,65.1,896.81953,26.6,90,4.75,285.62,455.625,2.72869,12.47
10,2,2020,13,10,14,33.33,1005.44,65.14,899.13092,26.6,135,4.75,285.92,455.5875,2.72812,12.77
10,2,2020,13,10,15,33.33,1005.45,65.27,899.5932,26.6,90,4.75,286.18,455.925,2.72925,13.03
10,2,2020,13,10,16,33.33,1005.43,65.27,900.05547,26.6,90,4.75,285.83,455.7375,2.72981,12.68
10,2,2020,13,10,17,33.32,1005.44,65.26,898.66864,13.3,135,4.75,285.45,455.6625,2.72531,12.3
10,2,2020,13,10,18,33.32,1005.43,65.33,890.80991,26.6,135,4.75,285.38,455.5125,2.71687,12.23
10,2,2020,13,10,19,33.33,1005.45,65.4,883.41346,26.6,90,4.75,284.98,455.55,2.70169,11.83
10,2,2020,13,10,20,33.33,1005.46,65.43,872.31879,26.6,90,4.75,285.45,454.9875,2.69494,12.3
10,2,2020,13,10,21,33.32,1005.42,65.47,882.95118,13.3,90,4.75,286.54,455.475,2.71012,13.39
10,2,2020,13,10,22,33.33,1005.42,65.42,900.98003,26.6,90,4.75,284.94,455.85,2.74669,11.79
10,2,2020,13,10,23,33.32,1005.43,65.42,903.7537,26.6,135,4.75,285.19,455.925,2.74162,12.04
10,2,2020,13,10,24,33.33,1005.43,65.36,900.05547,13.3,180,4.75,285.71,455.475,2.73544,12.56
10,2,2020,13,10,25,33.32,1005.41,65.42,899.5932,26.6,135,4.75,286.18,455.8875,2.74106,13.03
10,2,2020,13,10,26,33.32,1005.41,65.43,897.74408,26.6,135,4.75,284.65,455.8125,2.73656,11.5
10,2,2020,13,10,27,33.32,1005.44,65.38,901.90459,13.3,135,4.75,286.59,456.3375,2.74162,13.44
10,2,2020,13,10,28,33.32,1005.44,65.44,903.7537,13.3,135,4.75,285.85,456,2.74275,12.7
10,2,2020,13,10,29,33.32,1005.42,65.47,906.06509,26.6,135,4.75,285.64,455.9625,2.75175,12.49
10,2,2020,13,10,30,33.32,1005.43,65.42,907.45192,13.3,135,4.75,286.02,455.7,2.76075,12.87
10,2,2020,13,10,31,33.32,1005.43,65.46,910.68787,13.3,135,4.75,285.1,456.225,2.76244,11.95
10,2,2020,13,10,32,33.32,1005.45,65.37,919.47115,13.3,90,4.75,286.59,455.925,2.76356,13.44
10,2,2020,13,10,33,33.32,1005.46,65.36,925.48077,26.6,180,4.75,285.34,456.075,2.76356,12.19
10,2,2020,13,10,34,33.32,1005.44,65.35,929.64127,13.3,180,4.75,285.83,456.1125,2.76131,12.68
10,2,2020,13,10,35,33.32,1005.46,65.33,931.49038,19.95,180,4.75,284.98,456.1875,2.75063,11.83
10,2,2020,13,10,36,33.33,1005.44,65.38,933.3395,13.3,180,4.75,285.45,455.85,2.75344,12.3
10,2,2020,13,10,37,33.33,1005.46,65.39,937.5,19.95,180,4.75,284.8,456.225,2.75175,11.65
10,2,2020,13,10,38,33.32,1005.44,65.42,939.81139,26.6,180,4.75,285.85,456,2.75906,12.7
10,2,2020,13,10,39,33.33,1005.45,65.46,940.27367,26.6,90,4.75,284.51,456,2.76581,11.36
